# GLOBAL RAICES Geofeed
# This feed is encoded in RFC 8805 format.
# Publication date: 2024-05-15
# Update 2024-06-15
#
# This data feed provides approximate geo locations for a subset of
# GLOBAL RAICES IP space, and the data included in this feed may be used only
# for improving the accuracy of Geo:IP lookups
# ip_prefix,alpha2code,region,city,postal_code
38.190.26.0/24,CO,CO-CAU,Guachene,191087
38.190.27.0/24,CO,CO-VAC,Jamundi,764001
